state;known;cases;deaths;quantile25;quantile75;average;quantile25_rep;quantile75_rep;average_rep;text
Para√≠ba;28.9190309;111;13;0.28203433;0.645124619;0.44953097;4.3;2.2;2.9;1∫ quartil: 4.3 e 3∫ quartil: 2.2
Pernambuco;231.8523599;1154;102;0.378636344;0.506501886;0.439935138;3.2;2.8;3;1∫ quartil: 3.2 e 3∫ quartil: 2.8
Piau√≠;20.23382443;50;8;0.208933115;0.627797479;0.395377553;5.7;2.2;3.3;1∫ quartil: 5.7 e 3∫ quartil: 2.2
Maranh√£o;110.8848004;445;27;0.171630545;0.335830317;0.243495952;7.0;4.2;5.3;1∫ quartil: 7 e 3∫ quartil: 4.2
Par√°;78.3508866;270;15;0.116786648;0.29403796;0.191446462;10.3;4.8;6.8;1∫ quartil: 10.3 e 3∫ quartil: 4.8
Amazonas;397.5827726;1275;71;0.143269445;0.220169308;0.178579166;8.4;6.4;7.3;1∫ quartil: 8.4 e 3∫ quartil: 6.4
Sergipe;24.47412915;44;4;0.059008344;0.372430578;0.163437889;20.3;3.8;8;1∫ quartil: 20.3 e 3∫ quartil: 3.8
Rio de Janeiro;1160.982278;3231;188;0.140851745;0.18353982;0.161931843;8.5;7.6;8;1∫ quartil: 8.5 e 3∫ quartil: 7.6
Rond√¥nia;12.51934347;42;2;0.030460166;0.457106664;0.159752786;39.4;3.1;8.1;1∫ quartil: 39.4 e 3∫ quartil: 3.1
Goi√°s;95.22253332;233;15;0.094149375;0.246392066;0.15752574;12.7;5.7;8.3;1∫ quartil: 12.7 e 3∫ quartil: 5.7
S√£o Paulo;3870.994499;8895;608;0.145837401;0.168966755;0.157065581;8.2;8.3;8.3;1∫ quartil: 8.2 e 3∫ quartil: 8.3
Brasil;9323.121076;23430;1328;0.135460078;0.149725988;0.14244157;8.9;9.4;9.1;1∫ quartil: 8.9 e 3∫ quartil: 9.4
Alagoas;22.92044236;50;3;0.038223511;0.338247679;0.130887526;31.4;4.1;9.9;1∫ quartil: 31.4 e 3∫ quartil: 4.1
Cear√°;713.629747;1800;91;0.104649328;0.154134632;0.127517106;11.5;9.1;10.2;1∫ quartil: 11.5 e 3∫ quartil: 9.1
Rio Grande do Norte;152.2236889;339;17;0.067817617;0.173520161;0.111677756;17.7;8.1;11.6;1∫ quartil: 17.7 e 3∫ quartil: 8.1
Amap√°;45.70551382;242;5;0.044815147;0.241811006;0.109395991;26.8;5.8;11.9;1∫ quartil: 26.8 e 3∫ quartil: 5.8
Roraima;30.10960218;83;3;0.02781555;0.263238053;0.099635989;43.1;5.3;13;1∫ quartil: 43.1 e 3∫ quartil: 5.3
Esp√≠rito Santo;141.8220782;430;14;0.059326622;0.162129599;0.098715237;20.2;8.6;13.2;1∫ quartil: 20.2 e 3∫ quartil: 8.6
Paran√°;324.4719868;756;31;0.067460121;0.13238554;0.095539835;17.8;10.6;13.6;1∫ quartil: 17.8 e 3∫ quartil: 10.6
Santa Catarina;302.6670029;777;24;0.052334233;0.115499765;0.079295066;22.9;12.1;16.4;1∫ quartil: 22.9 e 3∫ quartil: 12.1
Mato Grosso;50.57541924;134;4;0.027787668;0.187978634;0.079089804;43.2;7.4;16.4;1∫ quartil: 43.2 e 3∫ quartil: 7.4
Acre;40.03225267;90;3;0.008956946;0.171016699;0.074939575;134.0;8.2;17.3;1∫ quartil: 134 e 3∫ quartil: 8.2
Mato Grosso do Sul;54.62495864;113;4;0.025696703;0.174106449;0.0732266;46.7;8.0;17.8;1∫ quartil: 46.7 e 3∫ quartil: 8
Bahia;305.6192901;723;22;0.044502426;0.102877084;0.071984985;27.0;13.6;18.1;1∫ quartil: 27 e 3∫ quartil: 13.6
Minas Gerais;383.6749862;815;23;0.039975449;0.088440487;0.059946572;30.0;15.8;21.7;1∫ quartil: 30 e 3∫ quartil: 15.8
Rio Grande do Sul;352.7008886;664;16;0.025001244;0.069195848;0.045364218;48.0;20.2;28.7;1∫ quartil: 48 e 3∫ quartil: 20.2
Distrito Federal;357.0125514;638;15;0.024651354;0.068227494;0.04201533;48.7;20.5;30.9;1∫ quartil: 48.7 e 3∫ quartil: 20.5
