Dia;Bahia;Ceará;Distrito Federal;Minas Gerais;Paraná;Rio de Janeiro;Rio Grande do Sul;São Paulo;Santa Catarina;Amazonas;Pernambuco;Espírito Santo;Goiás;Rio Grande do Norte;Centro-Oeste;Nordeste;Norte;Sudeste;Sul
0;1;5;1;1;6;1;1;1;2;1;2;1;3;1;1;1;1;1;1
1;1;4;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;1
2;0;15;0;0;0;1;2;0;2;0;0;0;0;0;0;1;0;0;8
3;0;44;1;0;0;1;0;1;1;0;0;0;0;0;1;0;0;1;2
4;0;16;0;1;0;5;2;0;0;2;0;0;3;0;0;0;7;0;4
5;0;41;0;0;0;5;0;0;3;4;14;0;2;0;3;2;11;0;2
6;0;60;4;0;7;3;0;0;11;4;0;0;7;0;4;1;13;0;1
7;0;15;2;3;10;0;4;1;19;15;12;0;3;5;2;0;17;1;4
8;0;35;5;2;13;6;9;3;11;6;3;0;0;0;7;1;37;4;19
9;0;47;9;8;7;2;12;4;6;15;-3;0;3;3;14;0;0;5;33
10;1;32;4;14;11;7;12;3;51;7;9;0;2;4;9;23;19;4;44
11;0;34;58;9;16;2;18;3;1;13;5;8;4;1;67;5;21;5;36
12;27;24;3;17;11;12;11;3;13;14;0;4;2;0;10;62;19;8;28
13;3;18;21;28;21;21;40;11;27;30;4;3;10;5;26;60;39;16;107
14;8;;9;47;17;53;11;12;35;29;2;10;10;9;17;26;43;15;0
15;8;;44;3;14;0;45;14;10;11;8;0;7;17;58;63;27;15;23
16;27;;0;20;15;67;27;9;3;24;12;3;2;23;0;110;40;15;79
17;8;;39;36;7;47;2;71;22;;5;11;3;9;2;0;;73;71
18;20;;30;16;24;72;29;16;;;5;0;4;5;54;34;;26;51
19;11;;30;36;;65;15;12;;;9;0;;;43;67;;16;54
20;13;;29;20;;51;33;76;;;;7;;;42;82;;104;25
21;26;;23;14;;72;;46;;;;6;;;39;85;;85;79
22;22;;20;;;65;;59;;;;7;;;36;96;;124;
23;37;;;;;42;;114;;;;12;;;35;54;;141;
24;;;;;;57;;172;;;;12;;;;101;;267;
25;;;;;;51;;114;;;;;;;;;;352;
26;;;;;;;;65;;;;;;;;;;7;
27;;;;;;;;52;;;;;;;;;;119;
28;;;;;;;;190;;;;;;;;;;261;
29;;;;;;;;171;;;;;;;;;;287;
30;;;;;;;;183;;;;;;;;;;270;
31;;;;;;;;45;;;;;;;;;;130;
32;;;;;;;;66;;;;;;;;;;155;
33;;;;;;;;822;;;;;;;;;;899;
